Nome,CPF,Tipo de Contrato,Status,Valor,Data
Lorenzo Rocha,047.158.623-44,Freelancer,Inadimplente,6269.51,2023-09-02
Nicolas Costa,357.906.182-86,Freelancer,Ativo,19569.92,2024-05-15
Sabrina Moraes,137.265.940-43,Estágio,Cancelado,657.91,2023-04-26
Miguel Souza,764.258.103-35,CLT,Inadimplente,15030.86,2022-08-07
Alana Costa,250.816.379-12,Freelancer,Ativo,12337.77,2023-08-03
Lucca Correia,547.190,Freelancer,Ativo,12914.05,2023-06-11
Clarice Peixoto,509.14,Freelancer,Inadimplente,15233.76,2022-11-25
João da Costa,149.587.032-41,PJ,Inadimplente,2394.7,2022-09-21
Srta. Ana Cavalcanti,439.058.621-15,CLT,Cancelado,15877.9,2023-06-26
Amanda Cunha,573.126.904-16,CLT,Inadimplente,7614.79,2022-07-28
Caroline da Rocha,853.069.721-95,PJ,Ativo,18237.74,2025-02-01
Bernardo Oliveira,534.792.108-05,Freelancer,Inadimplente,8602.31,2023-07-02
Sra. Isabella da Rosa,174.296.538-55,PJ,Ativo,15837.0,2022-12-29
Heitor Cardoso,214.597.3,Freelancer,Inadimplente,10285.0,2022-12-17
Sofia Ramos,479.163.850-66,Freelancer,Ativo,5510.92,2024-12-06
Lucas Gabriel Teixeira,328.461.907-04,Estágio,Cancelado,15057.91,2023-07-18
Srta. Stephany Moura,148.932.650-24,Freelancer,Ativo,9632.46,2024-08-24
Maria Vitória Campos,934.261.850-24,CLT,Ativo,15205.95,2023-11-24
Sr. Rodrigo Oliveira,130.286.495-51,PJ,Inadimplente,14622.23,2024-05-05
Sra. Catarina Souza,217.083.496-69,Estágio,Inadimplente,7632.61,2025-04-25
Maria Luiza Jesus,415.690.738-48,Estágio,Ativo,5656.94,2024-09-30
Valentina Rezende,289.160.437-78,CLT,Cancelado,7687.42,2024-08-20
Laura Rocha,904.352.817-04,Freelancer,Inadimplente,7930.0,2023-03-03
Vitor Hugo Souza,095.286.314-60,Freelancer,Ativo,13659.31,2023-10-21
Luiza Rezende,859.460.127-11,Estágio,Ativo,12581.16,2025-01-26
Maria Fernanda da Luz,517.923.684-37,Freelancer,Inadimplente,4816.66,2022-09-23
Rodrigo Silva,012.345.798-04,CLT,Inadimplente,16565.18,2023-01-15
Cecília Lima,406.,Freelancer,Inadimplente,8461.77,2024-12-21
Valentina Nascimento,768,PJ,Ativo,18952.1,2023-11-19
Antônio da Rosa,926.157.438-64,Freelancer,Cancelado,2764.35,2023-07-21
Lucas Gabriel Ribeiro,271.843.096-69,PJ,Inadimplente,3145.45,2023-06-15
Alexandre Jesus,821.706.935-21,Estágio,Cancelado,13574.48,2024-03-02
Alexia Barros,805.361.927-40,Estágio,Inadimplente,14974.25,2024-03-13
Helena Rezende,054.963.278-65,PJ,Cancelado,13270.98,2023-08-27
Leonardo Ferreira,482.759.103-23,Estágio,Inadimplente,8458.26,2025-04-23
Sofia Cardoso,410.382.695-98,Freelancer,Ativo,13960.47,2025-03-30
Sabrina Monteiro,081.264.593-60,PJ,Cancelado,9171.57,2023-06-14
Srta. Giovanna da Luz,458.907.612-85,PJ,Cancelado,2437.42,2024-05-09
Sr. Lucca Dias,027.359.184-32,Freelancer,Inadimplente,18083.08,2022-11-19
Alice Cardoso,314.960.825-24,Freelancer,Ativo,8263.72,2024-08-15
Srta. Ana Luiza Martins,621.095.378-68,PJ,Ativo,19005.71,2024-03-12
Caio Rocha,647.250.813-53,Estágio,Ativo,13423.99,2022-10-30
Julia Duarte,918.37,CLT,Ativo,15842.49,2022-11-04
Dra. Mariane Ferreira,934.687.520-83,PJ,Ativo,15846.07,2024-06-12
Thomas Moura,580.,PJ,Ativo,16681.45,2023-04-16
Letícia Moura,938.142.567-19,PJ,Inadimplente,4711.05,2024-10-31
Pedro Henrique Silveira,024.869.137-69,PJ,Cancelado,15600.19,2023-04-08
Caroline Peixoto,451.809.673-84,CLT,Cancelado,17238.92,2024-02-19
Anthony Carvalho,987.265.104-30,PJ,Ativo,11034.2,2022-07-12
Sophia Barros,301.964.825-42,PJ,Ativo,13390.62,2025-01-30
Marcos Vinicius Cardoso,524.678.039-29,CLT,Ativo,789.78,2022-09-17
Sofia Araújo,047.936.852-00,PJ,Inadimplente,6813.54,2023-09-03
João Lucas Cardoso,452.736.901-61,PJ,Cancelado,1521.78,2025-04-09
Pedro Henrique Novaes,578.163.0,Estágio,Inadimplente,2716.16,2024-10-24
Gabriela Caldeira,124.780.935-88,CLT,Cancelado,9241.37,2023-09-02
Otávio Nunes,198.752.306-77,Freelancer,Inadimplente,12076.49,2023-08-09
Vitor Gabriel Azevedo,403.825.619-70,Estágio,Inadimplente,4820.22,2025-01-11
Maria Julia Ferreira,086.923.541-98,CLT,Inadimplente,15772.93,2025-05-30
Breno da Paz,584.769.201-30,Freelancer,Cancelado,13045.14,2024-11-09
Davi Luiz Ribeiro,408.795.326-29,CLT,Ativo,19972.44,2024-02-13
Carolina Farias,958.640.23,Estágio,Cancelado,13878.9,2024-04-14
Raul Rocha,982.540.613-51,Estágio,Inadimplente,18239.17,2024-10-29
Stella Souza,318.470.926-40,CLT,Ativo,6781.18,2024-03-10
Gustavo Henrique Costa,415.620.983-06,PJ,Ativo,2960.74,2024-12-27
Kevin Cunha,061.579.423-80,Freelancer,Cancelado,19895.24,2023-01-25
Srta. Ana Sophia da Rosa,623.980.157-77,Freelancer,Cancelado,10358.25,2023-04-05
Levi Rodrigues,213.974.650-34,Estágio,Ativo,15965.37,2023-10-08
Marcelo Rocha,461.852.079-58,CLT,Inadimplente,13192.87,2023-05-21
Miguel Azevedo,610.753.984-01,PJ,Cancelado,9305.32,2023-04-04
Laura da Mota,635.407.891-20,PJ,Cancelado,7109.17,2025-04-18
Pedro Henrique das Neves,340.172.869-50,Estágio,Cancelado,8611.8,2023-10-09
Sra. Isabel Duarte,869.741.032-04,CLT,Cancelado,8821.9,2024-01-22
Bárbara Campos,729.365.180-59,Freelancer,Cancelado,19095.05,2024-01-02
Dra. Rebeca Carvalho,621.89,Estágio,Ativo,2278.88,2023-06-25
Fernanda Rodrigues,108.247.956-01,CLT,Ativo,8921.59,2025-03-28
Maria Cecília Rocha,215.984.673-28,Freelancer,Ativo,11349.23,2023-03-25
Daniela da Conceição,309.761.248-31,Freelancer,Inadimplente,2883.51,2024-12-31
Luigi Caldeira,286.497.530-00,Freelancer,Inadimplente,18852.03,2022-11-28
Pedro Lucas Alves,318.590.726-40,Estágio,Inadimplente,1503.2,2023-08-04
Luiz Otávio Sales,497.238.016-04,Freelancer,Inadimplente,6592.75,2022-06-28
Lara Ribeiro,908.274.351-50,CLT,Inadimplente,10394.54,2024-12-23
Alícia Rocha,471.930.682-96,PJ,Inadimplente,9902.69,2022-11-02
Maria Clara Gonçalves,048.326.751-17,CLT,Cancelado,16984.78,2024-09-30
Srta. Maria Julia Moura,981.724.053-32,Freelancer,Ativo,15370.81,2023-04-09
Nicolas Pires,746.189,PJ,Cancelado,16980.53,2023-02-16
Srta. Nicole Rodrigues,916.508.273-77,CLT,Inadimplente,18617.14,2024-06-02
Beatriz Campos,601.485.9,Freelancer,Ativo,4018.11,2023-08-20
Camila Viana,932.760.541-16,Freelancer,Cancelado,7344.96,2024-10-08
Isabelly Moura,214.360.987-69,PJ,Ativo,11543.26,2023-03-30
Manuela Barros,981.263.745-19,Estágio,Ativo,3266.56,2023-07-01
Maria Julia Dias,986.527.310-12,CLT,Ativo,15049.18,2024-04-04
Pietro Rodrigues,852.490.167-58,PJ,Cancelado,8686.73,2023-03-12
Bruna Porto,865.703.912-59,Freelancer,Ativo,7716.04,2022-10-22
Maria Cecília Fogaça,714.695.328-91,Freelancer,Inadimplente,12126.36,2024-09-01
João Felipe Moura,970.548.632-83,CLT,Ativo,3569.49,2025-02-10
Gustavo Henrique da Cunha,217.069.438-22,CLT,Inadimplente,2090.84,2025-05-27
Pedro Henrique Cardoso,104.539.627-34,Estágio,Inadimplente,8768.29,2023-12-06
Benício da Cruz,371.026.594-07,Estágio,Cancelado,5826.75,2023-11-03
Maria Cecília Melo,619.472.038-78,CLT,Cancelado,8883.32,2024-07-08
Mariana da Costa,275.349.860-10,Freelancer,Inadimplente,13730.48,2022-12-08
Vitor Hugo Silveira,318.692.745-55,Estágio,Inadimplente,13509.08,2024-05-24
Diego Duarte,618.924.503-05,CLT,Ativo,8207.64,2023-10-17
Enzo Jesus,457.826.091-76,CLT,Ativo,4486.25,2023-04-07
Ana Luiza Fogaça,753.219.068-40,PJ,Ativo,15401.14,2024-04-14
Gabriel Caldeira,581.906.473-93,Freelancer,Cancelado,2839.69,2023-08-03
Maria Alice Farias,680.957.432-83,Estágio,Inadimplente,8897.77,2022-10-27
Maria Sophia Souza,064.913.278-50,PJ,Cancelado,10885.36,2023-11-24
Theo Lopes,290.564.183-51,PJ,Inadimplente,11395.11,2023-09-20
Leonardo Melo,917.634.825-37,Freelancer,Ativo,8242.89,2022-09-26
Diego Almeida,563.170.829-95,CLT,Cancelado,865.46,2023-06-11
Diogo Vieira,425.193.768-64,CLT,Cancelado,11727.3,2023-03-26
Daniel Silva,960.713.254-80,Estágio,Inadimplente,12982.76,2025-01-27
Elisa Lima,598.602.413-33,Freelancer,Ativo,8398.13,2023-10-19
Luiz Gustavo Santos,962.431.750-06,Freelancer,Ativo,16125.78,2022-09-01
Maysa Ribeiro,803.645.972-83,Estágio,Inadimplente,18435.51,2023-03-02
Srta. Maria Luiza Jesus,178.653.924-19,CLT,Cancelado,16967.45,2024-10-16
Joana Monteiro,928.715.604-20,PJ,Cancelado,11982.99,2024-06-02
André Lopes,257.694.830-83,CLT,Cancelado,17475.23,2022-07-24
Raul Alves,592.081.743-79,Freelancer,Ativo,6994.84,2022-08-02
Bryan Melo,736.081.259-30,PJ,Ativo,10454.42,2023-12-21
Emilly Pereira,794.132.860-78,CLT,Inadimplente,10444.07,2025-04-15
Isabella Ramos,297.3,Freelancer,Cancelado,14683.89,2025-03-23
Bryan da Costa,284.769.305-00,PJ,Ativo,2504.69,2024-03-19
Enzo Almeida,802.591.674-01,Freelancer,Ativo,3883.23,2023-11-21
Dr. Luiz Miguel Martins,405.716.892-30,PJ,Inadimplente,1969.39,2024-01-26
Ana Lívia da Costa,351.480.926-70,Estágio,Cancelado,15211.69,2025-05-05
Luna Silva,068.795.132-12,Estágio,Inadimplente,18521.01,2023-10-08
Yago Silva,087.416.359-57,Freelancer,Inadimplente,6664.71,2023-05-15
Henrique Nogueira,947.508.162-30,Estágio,Ativo,9643.96,2022-06-30
Dr. Kaique Melo,512.096.374-99,Freelancer,Cancelado,12032.69,2022-06-16
Bianca Alves,048.679.235-83,Freelancer,Inadimplente,1946.72,2023-07-20
Thiago Viana,419.235.807-79,Estágio,Cancelado,1233.34,2023-09-16
Paulo Alves,935.410.682-05,Freelancer,Cancelado,1996.25,2025-02-09
Pedro Miguel Fogaça,467.895.130-00,CLT,Inadimplente,12084.56,2025-01-16
Giovanna Freitas,536.491.807-66,Estágio,Cancelado,11816.42,2023-09-11
Bianca Cunha,451.976.382-73,CLT,Cancelado,18226.47,2024-03-09
Leandro Castro,815.296.370-40,PJ,Cancelado,12297.61,2022-07-24
Emilly Araújo,653.701.928-12,PJ,Ativo,9285.2,2023-10-10
Dr. Yuri Oliveira,463.298.501-51,Freelancer,Inadimplente,2144.42,2024-03-16
Vitória Melo,531.980.276-59,PJ,Ativo,5331.0,2024-06-08
Isis Moreira,749.380.162-22,Estágio,Cancelado,10719.34,2024-01-02
Yago Teixeira,894.506.327-74,PJ,Cancelado,7770.61,2025-02-04
Dr. Vicente Dias,167.983.524-64,Freelancer,Cancelado,8471.0,2024-05-21
Alexia Barros,730,Freelancer,Inadimplente,12158.77,2023-04-21
Enzo Campos,426.517.089-76,Freelancer,Ativo,6928.97,2022-07-28
Sophie Rocha,716.093.452-07,Estágio,Cancelado,5413.92,2024-09-21
Sra. Maitê Cardoso,196.507.428-67,PJ,Cancelado,2089.29,2024-09-04
Rafaela Nunes,356.194.720-43,PJ,Cancelado,6549.52,2022-10-06
João Guilherme Freitas,671.209.384-87,Estágio,Ativo,12103.3,2024-04-06
Lucas Duarte,810.274.659-94,CLT,Cancelado,11398.98,2024-07-19
Benício Moreira,041.659.728-94,Freelancer,Ativo,13567.27,2022-08-17
Dr. Luiz Otávio Carvalho,289.703.456-47,CLT,Inadimplente,13573.89,2024-09-26
Srta. Manuela Pinto,904.183.527-04,Freelancer,Ativo,7570.65,2023-11-03
Sra. Larissa Barbosa,724.389.,PJ,Ativo,7163.78,2023-08-17
Bryan Nunes,243.061.987-31,Estágio,Ativo,4917.59,2023-10-06
João Pedro Pereira,309.274,PJ,Ativo,2004.72,2025-05-08
Sr. Luiz Felipe Martins,359.076.284-56,CLT,Inadimplente,15532.06,2022-08-28
Mariana Pereira,938.261.504-06,CLT,Inadimplente,7066.91,2022-08-19
Dr. Davi Lucca Rocha,023.167.485-62,PJ,Inadimplente,7846.04,2023-06-15
